"","NOMBRE","EDAD","POSICION","VALOR DE MERCADO"
"1","C. BravoPOR",37,"POR (1)
2020 ~ 2022","€1.2M"
"2","E. MenaLI CAR",31,"LD (2)
2018 ~ 2022","€4.1M"
"3","F. SierraltaDFC",23,"DCD (6)
2020 ~ 2023","€2.7M"
"4","G. MedelMCD DFC",32,"DCI (17)
2019 ~ 2022","€2.8M"
"5","S. VegasDFC LI",23,"LI (18)
30 jun. 2021 Cedido","€10.5M"
"6","A. VidalMC",33,"MCD (8)
2020 ~ 2022","€16M"
"7","E. PulgarMCD MC",26,"MC (13)
2019 ~ 2023","€6M"
"8","C. AránguizMCD MC",31,"MCI (20)
2015 ~ 2023","€18M"
"9","J. MenesesMI MD MC",27,"ED (9)
2018 ~ 2022","€6M"
"10","A. SánchezSD DC",31,"DC (10)
2020 ~ 2023","€18M"
"11","B. BreretonEI DC ED",21,"EI (22)
2019 ~ 2022","€3.1M"
"12","D. ValenciaDC ED EI",20,"Sup. (3)
2017 ~ 2021","€2.1M"
"13","P. GaldamesMC MCD",23,"Sup. (14)
2018 ~ 2021","€4.3M"
"14","C. BaezaMCD MC DFC",26,"Sup. (28)
2021 ~ 2024","€2.8M"
"15","P. AránguizMCO MC",23,"Sup. (27)
Gratis","€0"
"16","T. AlarcónMCD DFC",20,"Sup. (19)
Gratis","€0"
"17","E. RocoDFC",27,"Sup. (5)
2020 ~ 2021","€1.9M"
"18","G. AriasPOR",32,"Sup. (12)
2018 ~ 2023","€7M"
"19","L. ArriagadaDC",18,"RES. (24)
Gratis","€0"
"20","C. MontesEI",19,"RES. (26)
2020 ~ 2022","€475K"
"21","M. NuñezMC LD",20,"RES. (25)
2020 ~ 2022","€450K"
"22","F. MoraDC MD",26,"RES. (16)
2021 ~ 2022","€3.6M"
"23","G. CastellónPOR",26,"RES. (23)
2019 ~ 2021","€1.1M"
